Message ID,Result,Sent time,Ack Sent Time,Ack Recv Time,
2,1,1395581451010,1395581451020,1395581451029,
2,-1,0,1395581451028,1395581451030,
3,1,1395581451014,1395581451029,1395581451030,
3,-1,0,1395581451030,1395581451032,
4,1,1395581451014,1395581451031,1395581451032,
4,-1,0,1395581451032,1395581451034,
5,1,1395581451015,1395581451033,1395581451034,
5,-1,0,1395581451034,1395581451035,
6,1,1395581451015,1395581451034,1395581451036,
6,-1,0,1395581451035,1395581451037,
7,1,1395581451016,1395581451036,1395581451037,
7,-1,0,1395581451037,1395581451039,
8,1,1395581451016,1395581451038,1395581451040,
8,-1,0,1395581451039,1395581451041,
9,1,1395581451017,1395581451040,1395581451041,
9,-1,0,1395581451041,1395581451043,
10,1,1395581451018,1395581451042,1395581451044,
10,-1,0,1395581451043,1395581451045,
11,1,1395581451019,1395581451044,1395581451046,
11,-1,0,1395581451046,1395581451047,
12,1,1395581451019,1395581451046,1395581451048,
12,-1,0,1395581451048,1395581451049,
13,1,1395581451020,1395581451048,1395581451050,
13,-1,0,1395581451050,1395581451051,
14,1,1395581451020,1395581451051,1395581451052,
14,-1,0,1395581451052,1395581451053,
15,1,1395581451021,1395581451052,1395581451054,
15,-1,0,1395581451054,1395581451055,
16,1,1395581451021,1395581451054,1395581451056,
16,-1,0,1395581451056,1395581451057,
17,1,1395581451022,1395581451056,1395581451058,
17,-1,0,1395581451058,1395581451059,
18,1,1395581451023,1395581451058,1395581451060,
18,-1,0,1395581451060,1395581451061,
19,1,1395581451023,1395581451060,1395581451062,
19,-1,0,1395581451062,1395581451063,
20,1,1395581451024,1395581451063,1395581451064,
20,-1,0,1395581451064,1395581451066,
21,1,1395581451025,1395581451065,1395581451067,
21,-1,0,1395581451066,1395581451069,
22,1,1395581451025,1395581451067,1395581451070,
22,-1,0,1395581451069,1395581451071,
23,1,1395581451026,1395581451070,1395581451072,
23,-1,0,1395581451071,1395581451073,
24,1,1395581451026,1395581451072,1395581451074,
24,-1,0,1395581451073,1395581451075,
25,1,1395581451027,1395581451074,1395581451075,
25,-1,0,1395581451075,1395581451077,
26,1,1395581451028,1395581451076,1395581451077,
26,-1,0,1395581451077,1395581451079,
27,1,1395581451028,1395581451078,1395581451079,
27,-1,0,1395581451079,1395581451080,
28,1,1395581451029,1395581451080,1395581451081,
28,-1,0,1395581451081,1395581451082,
29,1,1395581451030,1395581451081,1395581451083,
29,-1,0,1395581451083,1395581451084,
30,1,1395581451031,1395581451083,1395581451085,
30,-1,0,1395581451085,1395581451087,
31,1,1395581451031,1395581451086,1395581451088,
31,-1,0,1395581451087,1395581451089,
32,1,1395581451032,1395581451088,1395581451089,
32,-1,0,1395581451089,1395581451091,
33,1,1395581451033,1395581451090,1395581451091,
33,-1,0,1395581451091,1395581451092,
34,1,1395581451033,1395581451091,1395581451093,
34,-1,0,1395581451092,1395581451094,
35,1,1395581451034,1395581451093,1395581451094,
35,-1,0,1395581451094,1395581451095,
36,1,1395581451034,1395581451095,1395581451096,
36,-1,0,1395581451096,1395581451097,
37,1,1395581451035,1395581451096,1395581451098,
37,-1,0,1395581451098,1395581451099,
38,1,1395581451036,1395581451098,1395581451100,
38,-1,0,1395581451099,1395581451101,
39,1,1395581451036,1395581451100,1395581451101,
39,-1,0,1395581451101,1395581451103,
40,1,1395581451037,1395581451102,1395581451103,
