Message ID,Producer ID,Consumer ID,Result,Sent time,Ack Sent Time,Ack Recv Time,RTT,OWT,ACKT
1,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,43,8,35
2,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,76,36,40
3,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,79,40,39
4,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,39,41
5,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,79,40,39
6,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,79,39,40
7,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
8,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
9,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,81,40,41
10,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,41,39
11,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,79,39,40
12,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
13,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
14,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,81,40,41
15,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,81,41,40
16,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
17,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
18,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
19,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
20,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
21,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
22,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,39,41
23,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
24,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
25,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,79,40,39
26,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,39,41
27,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,81,41,40
28,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
29,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
30,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,79,40,39
31,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,39,41
32,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,81,40,41
33,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
34,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,79,40,39
35,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
36,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,81,41,40
37,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
38,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
39,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
40,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
41,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
42,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,79,40,39
43,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
44,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,81,41,40
45,1,1,1,1.39732E+12,1.39732E+12,1.39732E+12,80,40,40
